training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
1.7880211,-7.899832,0.78998315,0.13708098,5.8018723,0.9980379,-5.790489,1.0,0.9990177,0.13574219,0.005659343,-11.037098,-11.043282,-4.7101517,4.3747926,0.11705599,3.5679714e-06,0.018790035,-0.031787276,0.46841195,1.7864342,-7.959194,0.7959194,0.15192145,5.781827,0.9905148,-5.726986,1.0,0.9986429,0.041015625,0.006953411,-11.239041,-11.245634,-4.4961076,31.015907,0.30904192,4.226727e-06,0.06697167224884033,334.85837841033936,5000
1.7734954,-7.792144,0.7792144,0.110158846,5.813388,0.99428105,-5.7801423,1.0,0.99901676,0.13769531,0.005370929,-10.507786,-10.513596,-4.5641346,6.5949087,0.14194801,1.0652198e-05,0.013320238,-0.0154320905,0.2701108,1.7556368,-7.841033,0.7841033,0.12238115,5.5973253,0.97153354,-5.43799,1.0,0.99802303,0.051757812,0.0076134647,-10.601912,-10.608253,-4.114025,112.020226,0.90168,1.1884736e-05,0.001997579336166382,344.84628105163574,10000
1.7685642,-7.7835684,0.7783568,0.10801503,5.4909153,0.99020743,-5.437146,1.0,0.99902344,0.16796875,0.005163283,-10.457567,-10.46367,-4.2152333,5.161148,0.21882068,1.0742618e-05,0.014862914,-0.017543046,0.26692992,1.7440425,-7.7996483,0.7799648,0.112035014,5.5816097,0.9640777,-5.3811064,1.0,0.996809,0.064453125,0.008788099,-10.326472,-10.332732,-3.923368,32.76789,0.55261844,1.1269649e-05,0.002002421188354492,354.85839223861694,15000
1.7689073,-7.7604966,0.77604973,0.10224716,5.460503,0.9928575,-5.4215026,1.0,0.99901867,0.17382812,0.005117688,-10.097451,-10.103273,-4.1419535,4.8240986,0.18716766,1.5106496e-05,0.011509533,-0.011223897,0.2102901,1.7331507,-7.8007193,0.7800719,0.112302735,5.455212,0.95307887,-5.1992483,1.0,0.9974451,0.05859375,0.008661889,-10.244064,-10.250366,-3.7961326,77.80647,0.9972527,8.62787e-06,0.001997542762756348,364.8461117744446,20000
1.7601262,-7.6895485,0.7689549,0.08451019,5.4183893,0.99117136,-5.370553,1.0,0.9990339,0.16699219,0.004982674,-10.261116,-10.267215,-4.022229,4.9998684,0.20872173,1.5428895e-05,0.014723811,-0.012117932,0.20585513,1.733448,-7.77666,0.777666,0.106288,5.5236635,0.9557821,-5.27942,1.0,0.99689865,0.05859375,0.0086588375,-10.2440195,-10.250253,-3.8676472,73.162094,0.858806,3.9479855e-07,0.001996705389022827,374.8296444416046,25000
1.7528989,-7.6848936,0.76848936,0.08334638,5.3215036,0.9844095,-5.2385397,1.0,0.9990158,0.1875,0.004899488,-10.393837,-10.400177,-3.9091785,14.665248,0.29321367,1.0171808e-05,0.014984789,-0.015096133,0.2121927,1.7564821,-7.792941,0.7792941,0.11035824,5.2637863,0.9771881,-5.14371,1.0,0.99740124,0.055664062,0.008414028,-10.282576,-10.288843,-3.8710537,17.31285,0.46720022,7.262883e-07,0.0020003146171569826,384.831223487854,30000
1.7604704,-7.703645,0.7703645,0.088034265,5.555208,0.99010587,-5.500245,1.0,0.999032,0.17578125,0.0049861325,-10.159604,-10.165636,-3.989782,11.443357,0.23249555,1.7565439e-05,0.012582192,-0.013119025,0.20273289,1.7510487,-7.796664,0.7796664,0.11128897,5.520597,0.97138226,-5.362611,1.0,0.9975271,0.072265625,0.007769103,-10.324404,-10.330759,-3.8240795,18.836784,0.49587563,9.415202e-06,0.001997373390197754,394.8180961608887,35000
1.761097,-7.7031517,0.7703152,0.08791084,5.306638,0.99078184,-5.2577214,1.0,0.99903107,0.20703125,0.004692949,-10.604256,-10.610968,-3.7370281,14.631902,0.2807124,1.2816585e-05,0.01770457,-0.007828396,0.20406368,1.7533927,-7.765176,0.77651757,0.10341694,5.8258047,0.9768752,-5.691085,1.0,0.9978447,0.059570312,0.007869801,-10.458344,-10.4646225,-4.0368614,23.214006,0.5008958,2.216928e-06,0.0019956427574157713,404.796315908432,40000
1.7608331,-7.7067266,0.7706726,0.08880459,5.295781,0.9901605,-5.2436743,1.0,0.9990444,0.20605469,0.004727605,-10.532763,-10.539373,-3.7698824,6.562998,0.23634818,1.12178905e-05,0.01803504,-0.015798394,0.22529104,1.7500365,-7.7493963,0.77493966,0.099472046,5.506419,0.97509676,-5.3692923,1.0,0.99781704,0.06542969,0.0077863582,-10.522801,-10.529293,-3.8820488,21.859503,0.44043553,3.481079e-07,0.0020014920234680176,414.8037815093994,45000
1.7545264,-7.684497,0.76844966,0.08324718,5.484949,0.9860767,-5.4085817,1.0,0.999033,0.20117188,0.004786944,-10.550589,-10.557185,-3.8033047,18.034315,0.29432273,5.8312426e-06,0.027414415,-0.016135838,0.21878989,1.7603045,-7.738466,0.77384657,0.0967394,5.6594853,0.98645794,-5.582845,1.0,0.99834156,0.07324219,0.0071463054,-10.662785,-10.6692505,-4.0479536,11.270049,0.30322713,1.633147e-08,0.0019965632438659667,424.78660345077515,50000
