training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
1.7671165,-7.7349863,0.77349865,0.095869526,6.262948,0.99361783,-6.2229776,1.0,0.99905014,0.12988281,0.005463115,-9.617158,-9.622102,-4.5591264,9.635969,0.15011689,4.393538e-06,0.016143182,-0.009606332,0.4459936,1.7684408,-7.755742,0.7755742,0.10105844,6.412912,0.99286664,-6.3671675,1.0,0.998868,0.0546875,0.005941079,-9.426709,-9.431292,-4.739294,6.492205,0.13928609,4.6382575e-06,0.09915533442497254,495.7766830921173,5000
1.7520361,-7.680925,0.76809245,0.08235413,5.8481035,0.9839436,-5.7542048,1.0,0.99905396,0.15039062,0.0051335907,-9.688459,-9.693923,-4.101121,52.449738,0.31236875,1.069284e-05,0.011667313,-0.010404746,0.36188796,1.7646697,-7.7105703,0.771057,0.08976551,6.130207,0.99361265,-6.091052,1.0,0.9986601,0.06640625,0.0060901763,-9.499235,-9.50409,-4.532651,39.131546,0.21941574,2.3570149e-06,0.0067323846817016605,529.4386122226715,10000
1.755342,-7.68151,0.76815104,0.08250047,5.822817,0.98719096,-5.748233,1.0,0.999053,0.171875,0.005023644,-9.850821,-9.856478,-4.063126,31.69437,0.25401473,2.9875555e-06,0.0149409,-0.013522119,0.3837216,1.7682275,-7.7427654,0.77427655,0.09781432,6.180007,0.9939509,-6.142625,1.0,0.99872875,0.08886719,0.005820185,-9.777499,-9.782691,-4.4656553,5.758067,0.13949338,8.684831e-06,0.006745122194290161,563.1642298698425,15000
1.7434269,-7.6786137,0.76786137,0.08177625,5.7784824,0.97556555,-5.6372895,1.0,0.99906063,0.18261719,0.005011648,-9.978575,-9.984406,-4.013015,24.790384,0.37892032,3.4306565e-06,0.014506606,-0.016456513,0.40374023,1.7628667,-7.740792,0.77407914,0.097320914,5.8798933,0.9887876,-5.8139668,1.0,0.9987459,0.0859375,0.0059294067,-9.730154,-9.735438,-4.32485,15.798362,0.20465583,2.9521598e-07,0.006737357473373413,596.8510239124298,20000
1.7523054,-7.668954,0.7668954,0.07936145,5.784921,0.98541,-5.7005196,1.0,0.9990444,0.20507812,0.004948032,-10.132456,-10.138462,-3.989213,22.351795,0.27521795,1.7514043e-06,0.026383888,-0.022413682,0.43686867,1.7698183,-7.744236,0.7744236,0.098181956,6.3089247,0.99539465,-6.279871,1.0,0.9989767,0.09765625,0.005673562,-9.824232,-9.829379,-4.557797,19.833954,0.13199666,9.293884e-08,0.006722150182723999,630.4617805480957,25000
1.7479621,-7.67254,0.7672541,0.08025806,5.7467804,0.980708,-5.6359143,1.0,0.99906063,0.21777344,0.004753793,-10.361305,-10.36779,-3.7282152,17.633553,0.32490957,8.49237e-07,0.024296727,-0.0196253,0.47182763,1.774988,-7.766052,0.77660525,0.103635974,6.533522,0.9983828,-6.522957,1.0,0.9989071,0.08984375,0.00573813,-9.851503,-9.856797,-4.4355707,9.62838,0.12644197,1.0384271e-06,0.006734411478042603,664.1338438987732,30000
1.7493904,-7.6969137,0.76969147,0.08635148,5.641171,0.9796989,-5.52665,1.0,0.9990587,0.21679688,0.0046466026,-10.6406765,-10.6474695,-3.6911213,10.591185,0.31735915,2.0646205e-05,0.018084532,-0.017030846,0.4254153,1.7729995,-7.751602,0.7751602,0.100023545,6.4793854,0.99783933,-6.4653864,1.0,0.99886036,0.091796875,0.0057184976,-10.083017,-10.088475,-4.500124,7.8794913,0.113771066,1.4699948e-07,0.006736118841171265,697.8144450187683,35000
1.7426336,-7.6508055,0.7650806,0.07482441,5.626133,0.977553,-5.499844,1.0,0.999073,0.24121094,0.0045825522,-10.738541,-10.745563,-3.554951,58.016895,0.44223285,5.6060762e-06,0.04024018,-0.023303788,0.5140337,1.7683524,-7.7222652,0.77222645,0.092689246,6.4456406,0.99612594,-6.4206705,1.0,0.9988756,0.10253906,0.0059074336,-10.195081,-10.200543,-4.607034,13.155738,0.14868677,2.547067e-07,0.006730859327316284,731.4687480926514,40000
1.7422364,-7.6177263,0.76177263,0.06655459,5.616926,0.98046374,-5.5071936,1.0,0.9990673,0.24804688,0.0045036096,-10.976133,-10.983483,-3.4558544,140.55937,0.52011395,1.7461667e-05,0.022259751,-0.022882136,0.45063406,1.7686853,-7.711241,0.77112406,0.08993314,6.6118426,0.9975613,-6.5957193,1.0,0.9989395,0.10058594,0.0057887784,-10.385388,-10.391097,-4.545256,30.456425,0.17869852,4.4810065e-07,0.006738736581802368,765.1624369621277,45000
1.735194,-7.6380863,0.7638087,0.071644634,5.8346696,0.9713853,-5.667713,1.0,0.999053,0.2421875,0.0046256566,-10.96961,-10.9768915,-3.5205245,44.40601,0.55820096,1.7381593e-06,0.02249668,-0.016845256,0.47646138,1.7689235,-7.7352085,0.7735208,0.09592513,6.7837744,0.99540263,-6.752588,1.0,0.9988804,0.08984375,0.0060245767,-10.423374,-10.428888,-4.7827563,20.258577,0.15413606,1.1770338e-07,0.006735595655441284,798.8404211997986,50000
1.7361181,-7.6062927,0.7606293,0.06369619,5.7215147,0.9754887,-5.581274,1.0,0.9990816,0.26660156,0.004486366,-11.132948,-11.140441,-3.467469,29.919827,0.5302317,3.566495e-06,0.014301012,-0.024369901,0.4167299,1.7645655,-7.6769943,0.7676995,0.081371635,6.7162533,0.9968659,-6.6952047,1.0,0.99880314,0.10449219,0.006064412,-10.642565,-10.648374,-4.699728,11.060245,0.16177201,6.317027e-07,0.006739429759979248,832.5375773906708,55000
