training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
1.788347,-7.9596767,0.7959677,0.15204224,5.6769767,0.99237925,-5.6337147,1.0,0.99903965,0.109375,0.0056712893,-10.423193,-10.428839,-4.647024,6.8936315,0.12749577,1.9755173e-07,0.011870331,-0.01229234,0.2542638,1.794834,-7.9718256,0.7971826,0.15507942,5.9459534,0.9976514,-5.9319897,1.0,0.99897575,0.052734375,0.0060745627,-9.743391,-9.748129,-4.8970776,4.323288,0.06882852,3.913974e-08,0.06642473244667053,332.12367486953735,5000
1.7812752,-7.880413,0.78804123,0.13222617,5.6728687,0.9932339,-5.6344867,1.0,0.9990511,0.13085938,0.0054353247,-10.189266,-10.19491,-4.4167514,8.056043,0.12793994,5.9378895e-06,0.01977691,-0.015656823,0.27074,1.7788408,-7.87692,0.78769207,0.13135308,5.7811995,0.99114865,-5.730029,1.0,0.99887466,0.057617188,0.005996168,-10.092816,-10.098178,-4.60769,56.082428,0.18883625,2.7527667e-06,0.0020064019680023195,342.15569019317627,10000
1.7684505,-7.83581,0.783581,0.1210755,5.6363225,0.98486954,-5.5510435,1.0,0.9990473,0.14941406,0.0052162455,-10.371723,-10.377641,-4.3184414,17.535841,0.21149448,4.098103e-06,0.015111662,-0.0152423205,0.24791023,1.7717135,-7.8638587,0.7863859,0.12808767,5.892228,0.98532766,-5.805776,1.0,0.9987726,0.06640625,0.006092113,-10.209361,-10.214777,-4.6691256,23.105742,0.28494334,1.8789304e-08,0.0020115468978881834,352.21343088150024,15000
1.762006,-7.829405,0.7829405,0.11947408,5.4578896,0.97906554,-5.3436327,1.0,0.99903774,0.17382812,0.0050105583,-10.605274,-10.611658,-4.0745783,17.62022,0.27893925,6.5829636e-06,0.012712315,-0.020751812,0.22408554,1.7703903,-7.8397155,0.78397155,0.12205179,5.6811943,0.9864187,-5.6040373,1.0,0.9985056,0.06347656,0.0063472134,-10.075091,-10.080664,-4.3745747,26.838268,0.39832217,2.46617e-07,0.0020109057426452638,362.2679660320282,20000
1.7615457,-7.8221865,0.7822187,0.117669545,5.5454636,0.9793269,-5.4308224,1.0,0.9990454,0.15917969,0.0051524867,-10.345103,-10.35111,-4.1998596,12.214373,0.26229793,9.15967e-06,0.012569927,-0.016560093,0.22884955,1.7615461,-7.8154297,0.781543,0.11598037,5.573143,0.9800031,-5.4616985,1.0,0.9986019,0.076171875,0.006189985,-10.097307,-10.102993,-4.2800164,19.540512,0.30891958,7.29035e-07,0.0020106616020202635,372.321280002594,25000
1.7562242,-7.7694283,0.77694285,0.10448009,5.4031267,0.97928137,-5.2911825,1.0,0.99906826,0.16015625,0.0049904566,-10.476572,-10.482889,-4.0134964,19.876629,0.2873938,5.3688377e-06,0.0126238465,-0.021921704,0.2283972,1.7711732,-7.8343887,0.78343886,0.12072021,5.8545237,0.9877343,-5.782715,1.0,0.99870205,0.07714844,0.005995044,-10.113278,-10.118801,-4.464081,37.17174,0.24335228,3.4442593e-07,0.0020085248947143554,382.363911151886,30000
1.7540417,-7.763153,0.77631533,0.10291118,5.5343366,0.9777264,-5.411068,1.0,0.9990587,0.17480469,0.005066459,-10.433935,-10.440152,-4.074563,14.795479,0.32483634,5.907496e-06,0.015756322,-0.018739328,0.23934847,1.7594936,-7.7927113,0.7792711,0.110300794,5.6788883,0.9802225,-5.566575,1.0,0.9985752,0.07421875,0.006263988,-10.296152,-10.302069,-4.2432146,35.50719,0.34780112,1.6912173e-06,0.002006389856338501,392.39586663246155,35000
1.7598782,-7.765731,0.77657306,0.10355565,5.3607216,0.98330516,-5.271226,1.0,0.9990444,0.16601562,0.0050189877,-10.603106,-10.609477,-4.0857954,23.367077,0.2585023,2.747613e-06,0.031361192,-0.0144559955,0.23919927,1.7548233,-7.786568,0.77865684,0.108765036,5.5389504,0.9761665,-5.4069386,1.0,0.9983702,0.09765625,0.0065169074,-10.436689,-10.442845,-4.1388903,235.85332,0.99415535,1.89553e-06,0.0020063727378845215,402.42773699760437,40000
1.7552726,-7.7728815,0.7772882,0.10534333,5.477413,0.9779844,-5.3568254,1.0,0.9990587,0.16308594,0.0050168186,-10.607464,-10.613851,-4.0757217,38.24556,0.30063862,9.9961035e-06,0.034314778,-0.009931061,0.23908456,1.7653296,-7.791953,0.7791953,0.11011125,5.6931906,0.9861343,-5.614251,1.0,0.9987631,0.08496094,0.005972077,-10.442331,-10.4483385,-4.2970815,58.2825,0.3867681,1.4464865e-06,0.0020112446784973145,412.48396611213684,45000
1.7568485,-7.7619643,0.7761965,0.102614075,5.536051,0.980652,-5.42894,1.0,0.99904156,0.16015625,0.0050024427,-10.555313,-10.56172,-4.0003247,23.97901,0.27631256,2.8642937e-05,0.01966897,-0.034149732,0.2770337,1.7682823,-7.802431,0.7802431,0.1127307,5.7012205,0.9880392,-5.63303,1.0,0.99857426,0.08691406,0.006058215,-10.414656,-10.420638,-4.2949133,57.17675,0.33953848,5.294872e-07,0.0020103976249694826,422.53595995903015,50000
1.7623038,-7.779885,0.7779885,0.107094176,5.5479164,0.98431534,-5.4609003,1.0,0.9990425,0.19335938,0.004956466,-10.68515,-10.69162,-4.0667295,50.434685,0.30739444,5.2315504e-06,0.017861608,-0.012606756,0.20151651,1.7725624,-7.7993555,0.77993554,0.11196177,5.871687,0.99262685,-5.828395,1.0,0.9987879,0.08496094,0.0059161284,-10.437067,-10.442896,-4.4746647,75.07837,0.29439855,8.756984e-07,0.0020109339714050292,432.59063601493835,55000
1.7456732,-7.748906,0.77489066,0.0993495,5.46292,0.9707825,-5.3033085,1.0,0.99906063,0.18457031,0.0049502216,-10.619747,-10.626256,-3.961389,21.849092,0.3404057,1.09180555e-05,0.021736423,-0.032289434,0.2585295,1.7621915,-7.7937555,0.77937555,0.1105618,5.765278,0.98281604,-5.6662083,1.0,0.9986477,0.083984375,0.0060012615,-10.555359,-10.561498,-4.275197,25.923307,0.3540724,1.3724662e-06,0.0020086379051208495,442.6338315010071,60000
1.7547116,-7.757844,0.7757844,0.101584,5.453936,0.9789272,-5.3390074,1.0,0.9990444,0.19140625,0.0049282117,-10.740894,-10.7475605,-3.9204698,39.948135,0.33951378,2.132686e-06,0.0124652535,-0.019859927,0.23288807,1.7690145,-7.7880316,0.77880317,0.10913084,5.745244,0.9902113,-5.689007,1.0,0.9987736,0.09375,0.00593788,-10.452305,-10.458239,-4.3815947,16.537281,0.2587791,2.4368328e-08,0.002011226415634155,452.68996930122375,65000
1.7541242,-7.744011,0.77440107,0.09812564,5.45496,0.97972304,-5.344351,1.0,0.99906445,0.20117188,0.0048765102,-10.903684,-10.910483,-3.9474115,29.406326,0.2906499,4.8053853e-06,0.025336491,-0.021127362,0.22898668,1.7632861,-7.7683973,0.77683973,0.10422231,5.849983,0.9864464,-5.7706957,1.0,0.998744,0.10058594,0.0060257604,-10.5018215,-10.507877,-4.3057423,50.056934,0.35509425,3.1641573e-06,0.002012777996063232,462.7538661956787,70000
1.7467628,-7.760402,0.7760402,0.102223545,5.3505554,0.9707226,-5.193906,1.0,0.99906635,0.21191406,0.0047965245,-10.91017,-10.917163,-3.7570186,30.127184,0.42780465,6.6249145e-06,0.01801142,-0.014691008,0.21813242,1.767261,-7.79722,0.77972203,0.111428045,5.846056,0.98753905,-5.7732096,1.0,0.99856853,0.0859375,0.006093506,-10.589808,-10.59601,-4.245583,35.75965,0.4195372,7.797512e-07,0.002011509609222412,472.8114204406738,75000
1.7575688,-7.7660437,0.7766043,0.10363377,5.489894,0.98096454,-5.385392,1.0,0.9990425,0.20898438,0.004852847,-10.911594,-10.918444,-3.903626,21.577976,0.30267233,1.7435351e-06,0.019882299,-0.01676489,0.24328095,1.7724555,-7.7755136,0.7775514,0.10600145,5.8559456,0.9949041,-5.826105,1.0,0.9986019,0.095703125,0.0062373853,-10.591742,-10.597969,-4.2207303,32.759827,0.33900023,5.8448887e-08,0.0020095184326171874,482.8590190410614,80000
