training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.026367188,0.007007264,-8.441761,-8.44391,-6.2438335,0.2989493,0.0036841736,1.266729e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9990206,0.015625,0.007106759,-8.297219,-8.299475,-5.990884,0.921636,0.0058592753,5.2560445e-10,0.08622537393569946,431.12688279151917,5000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990244,0.05859375,0.006619164,-8.537661,-8.540352,-5.784173,1.5702653,0.011662014,3.8843964e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9989996,0.048828125,0.0067304,-8.70946,-8.712356,-5.747636,21.378689,0.051586475,2.3205865e-07,0.005366758489608764,457.9606816768646,10000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902534,0.19042969,0.0060915723,-9.344573,-9.348667,-5.1571016,7.6662374,0.06700454,1.877425e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9990177,0.12792969,0.0063048266,-9.768192,-9.772451,-5.409728,4.332589,0.028537886,8.697678e-10,0.005380568122863769,484.86352825164795,15000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990301,0.24023438,0.005829997,-9.678275,-9.682897,-4.9494467,106.78372,0.16277857,8.551172e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9990225,0.13183594,0.0062277513,-9.560673,-9.564859,-5.276161,8.821229,0.056530286,1.3835193e-08,0.0053812668800354005,511.76986837387085,20000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990425,0.29101562,0.0054234467,-11.266319,-11.272922,-4.511274,15.283349,0.16489646,3.519608e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9990015,0.16699219,0.0059441375,-10.821203,-10.827003,-4.8894496,7.020471,0.090452254,4.709342e-13,0.005378440284729004,538.6620767116547,25000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99907494,0.39160156,0.0050277016,-10.749353,-10.755991,-3.9591675,97.42176,0.5651598,2.4415119e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9989071,0.23925781,0.0058171256,-10.853487,-10.860048,-4.141285,132.24344,0.757079,1.0679585e-10,0.0053785003185272216,565.5545861721039,30000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990759,0.5566406,0.0040302644,-12.181633,-12.1907015,-2.9044886,232.88467,1.3269274,4.141304e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99881077,0.29101562,0.005751622,-11.830129,-11.838126,-3.6485589,199.78812,1.5981208,4.89948e-10,0.0053721415996551515,592.4153003692627,35000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9991503,0.62890625,0.0033908656,-12.718592,-12.728867,-2.2067065,165.09036,1.750617,1.6497236e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99881554,0.31445312,0.005592472,-12.411709,-12.420377,-3.544646,130.67085,1.7888633,5.28457e-11,0.005376605319976807,619.2983334064484,40000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9992924,0.68652344,0.0027258368,-13.260986,-13.272685,-1.2933235,250.43947,2.770256,1.2190418e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99846363,0.33007812,0.005964838,-13.298174,-13.308299,-2.940784,1231.4807,4.8762307,1.5155326e-09,0.0053792948246002194,646.1948142051697,45000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9993963,0.73828125,0.0021690112,-13.935032,-13.948163,-0.5014459,283.04367,4.830146,2.6669267e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99839973,0.31640625,0.006119123,-13.784256,-13.794685,-3.1152792,1850.5845,4.324431,1.0084403e-09,0.0053770229816436765,673.079936504364,50000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9994354,0.8076172,0.001710905,-14.7156925,-14.729968,-0.11127289,155.07784,4.3609033,7.397801e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.998538,0.32226562,0.0062079495,-14.501651,-14.512203,-3.705677,584.3781,4.039071,9.138553e-10,0.005384189128875732,700.0008883476257,55000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9994488,0.8339844,0.0016139962,-14.852856,-14.867516,0.143709,651.94543,6.165567,4.0337733e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99858475,0.3154297,0.0062452774,-14.585442,-14.595927,-3.8574123,565.65753,4.215186,2.4962303e-11,0.005372116327285767,726.8614761829376,60000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99948597,0.8183594,0.0015092641,-15.102154,-15.117352,0.44450945,340.72516,6.737283,4.7869385e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99846554,0.29785156,0.0068442533,-14.952865,-14.963361,-4.2148957,3154.145,7.06336,7.3272076e-11,0.005367024755477906,753.6966066360474,65000
