training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
3.3808227,-7.9604597,2.3881378,0.15223783,6.3558474,0.99268484,-6.309355,1.0,0.9990692,0.42285156,0.004521907,-11.40193,-11.409612,-3.5421772,24.294626,0.31471956,4.8734794e-09,0.023213845,-0.01600764,0.79636866,3.3789325,-7.98127,2.394381,0.15744056,6.3212156,0.9845513,-6.223562,1.0,0.99884224,0.26757812,0.0053239795,-11.144262,-11.151706,-3.5289311,172.56946,0.71329194,5.1404566e-08,0.11655532493591308,582.7766396999359,5000
3.2945192,-7.838188,2.3514566,0.12167001,5.512664,0.94306254,-5.1987877,1.0,0.9992008,0.52441406,0.003430004,-12.211618,-12.221474,-2.1303453,62.048916,1.3468218,2.6550984e-07,0.02148499,-0.021713676,0.7324979,3.3228402,-7.8859863,2.365796,0.1336196,5.988017,0.95704406,-5.730797,1.0,0.99840355,0.29492188,0.0054168478,-12.028921,-12.038036,-2.7039905,144.04486,1.3227307,3.9269796e-07,0.009274329948425293,629.1482996940613,10000
3.2828796,-7.8242493,2.3472748,0.11818516,4.9445906,0.9356048,-4.6261835,1.0,0.99925995,0.6152344,0.0028264918,-13.039148,-13.050437,-1.4905471,90.937355,1.9039524,3.8374455e-07,0.034959804,-0.037145253,0.87194115,3.3210077,-7.863096,2.3589287,0.1278969,6.5121746,0.9620791,-6.2652283,1.0,0.99845505,0.2998047,0.005560476,-12.54281,-12.552385,-2.7483718,596.25757,2.6269193,2.3702476e-09,0.009291036415100097,675.6034920215607,15000
3.240131,-7.79493,2.338479,0.110855535,4.50828,0.9016518,-4.0648994,1.0,0.99928474,0.65527344,0.0025105719,-13.62365,-13.635966,-1.0244994,101.7622,2.5881612,1.344375e-07,0.032306384,-0.026776588,0.79125094,3.3105247,-7.8611164,2.358335,0.12740214,6.8488684,0.95218974,-6.521423,1.0,0.9985199,0.30859375,0.005603087,-13.353483,-13.363894,-2.703527,715.8896,3.189792,1.394252e-10,0.00928986086845398,722.0528056621552,20000
3.2339888,-7.77989,2.333967,0.1070955,4.619667,0.90002173,-4.1578016,1.0,0.99933624,0.67578125,0.0023120642,-14.021044,-14.033873,-0.89763814,174.7544,2.8971643,2.8230778e-09,0.06535771,-0.05604945,1.1079029,3.3189917,-7.8337655,2.3501296,0.12056431,7.1554823,0.9688621,-6.9326763,1.0,0.99851036,0.30371094,0.00578971,-13.900526,-13.911019,-3.1671214,2329.7476,4.394331,9.401132e-10,0.009287552118301392,768.490576505661,25000
3.2132897,-7.752755,2.3258266,0.1003117,4.3925157,0.8874632,-3.898197,1.0,0.9993801,0.74121094,0.0020394265,-14.494296,-14.507994,-0.48135704,133.09076,3.4488418,1.14113035e-07,0.023098625,-0.02829431,0.586108,3.3111687,-7.8125196,2.3437557,0.11525281,7.282016,0.9674128,-7.044717,1.0,0.9985571,0.31347656,0.0058913976,-13.943554,-13.954092,-3.162354,5543.273,7.9338036,5.8192813e-12,0.009294356489181518,814.9623680114746,30000
3.1601822,-7.753608,2.3260825,0.10052504,4.0660467,0.8340998,-3.3914897,1.0,0.99939156,0.74609375,0.0019652424,-14.811235,-14.825406,-0.31577995,180.79527,3.8895636,3.1317676e-08,0.043422785,-0.042268068,0.91280675,3.3170686,-7.8158293,2.344749,0.11608035,8.002906,0.9723196,-7.781383,1.0,0.9986725,0.3125,0.005930515,-14.450602,-14.461099,-3.7120898,561.4831,3.3391209,6.897521e-11,0.009293523740768432,861.4299938678741,35000
3.185213,-7.7320786,2.3196237,0.095142595,4.4013824,0.86558926,-3.8097901,1.0,0.9994354,0.76953125,0.0018305226,-15.005531,-15.02007,-0.13165012,200.27228,4.570948,1.1690267e-08,0.03915834,-0.042831473,0.775071,3.3183327,-7.8179626,2.345389,0.11661358,7.800162,0.97294366,-7.589119,1.0,0.99862385,0.2919922,0.0063211233,-14.804985,-14.815774,-3.7671776,1096.8988,4.5957155,3.2780317e-10,0.009296437358856201,907.9121906757355,40000
3.1871405,-7.753693,2.326108,0.10054621,4.1456623,0.8610324,-3.5695505,1.0,0.99942017,0.765625,0.0017470738,-15.243828,-15.258674,-0.057067476,186.87183,4.058904,7.8379614e-08,0.034291375,-0.026400344,0.64852166,3.3155208,-7.8200493,2.346015,0.11713526,8.02643,0.96950567,-7.7816706,1.0,0.9985571,0.3173828,0.006138519,-15.085885,-15.097111,-3.601649,548.0293,4.02071,5.8811234e-11,0.00931247262954712,954.4745631217957,45000
3.153152,-7.7387733,2.3216324,0.09681636,3.8692608,0.8315195,-3.2173667,1.0,0.99937344,0.7753906,0.0017171735,-15.51013,-15.525311,0.020611318,118.23584,4.1620736,1.230327e-06,0.049079545,-0.049808875,0.78117555,3.3273811,-7.8351088,2.350533,0.12090024,8.377428,0.976848,-8.183475,1.0,0.9987345,0.2919922,0.0061105667,-15.214912,-15.2257185,-4.1593814,2796.2463,4.1568956,2.871259e-11,0.009311641311645507,1001.0327794551849,50000
