training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.00390625,0.008436557,-8.22834,-8.228894,-7.660494,0.06682271,0.0016976185,3.587792e-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.0048828125,0.008460501,-8.4188175,-8.4194565,-7.765661,0.056221657,0.0016045185,5.846206e-11,0.18126416387557984,906.3208606243134,5000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.0009765625,0.21610966,-221.60184,-221.6026,-220.8289,0.052235022,0.00085164234,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.0009765625,0.20081902,-205.95905,-205.95984,-205.1358,0.053442437,0.0009479688,0.0,0.010000182914733887,956.3217811584473,10000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.0029296875,0.0077503356,-8.117271,-8.118443,-6.9189396,0.081235945,0.0024082367,1.009382e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.0048828125,0.007800025,-8.096566,-8.097754,-6.8821797,0.113293365,0.0028381655,2.4095283e-07,0.010038179779052735,1006.5126855373383,15000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.0087890625,0.00759196,-8.431355,-8.432983,-6.765979,0.5285704,0.0034422856,5.766702e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.0078125,0.0076317936,-8.339586,-8.3412075,-6.6813803,1.0077511,0.00454282,1.2056735e-06,0.010013904094696045,1056.5822117328644,20000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.005859375,0.008024184,-9.057705,-9.05936,-7.364237,0.6445172,0.0034016906,6.5510605e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9990225,0.005859375,0.0080855675,-9.049883,-9.051574,-7.32008,0.6916007,0.0035250587,3.9510795e-08,0.010019222593307495,1106.678331375122,25000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.0126953125,0.0073670764,-8.362293,-8.364074,-6.541231,0.20302203,0.004027802,3.975502e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.0087890625,0.0074185645,-8.348371,-8.350128,-6.550926,0.31157124,0.003898883,1.7452709e-07,0.01005835485458374,1156.9701116085052,30000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.020507812,0.00709912,-8.494868,-8.496762,-6.5571995,0.20865683,0.0029629439,2.7050692e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.0107421875,0.0071203075,-8.390673,-8.392464,-6.557827,0.12731898,0.0026686923,1.3346314e-06,0.009996140241622925,1206.9508187770844,35000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9907932,0.0009765625,0.10487886,-32.19866,-32.200092,-30.734612,147369020000.0,73856430.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.0009765625,0.05987589,-62.20311,-62.204338,-60.939766,0.034594987,0.0010270651,0.0,0.010022462177276611,1257.0631356239319,40000
nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.016601562,0.0073322486,-8.565175,-8.567228,-6.4648767,0.2553668,0.004459015,2.0460655e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.0107421875,0.007467989,-8.606344,-8.60836,-6.5437136,0.6652984,0.004659525,1.6740986e-06,0.010025768852233887,1307.1919856071472,45000
nan,nan,nan,nan,nan,nan,nan,1.0,0.9990225,0.015625,0.009071562,-10.207466,-10.210697,-6.90203,16.608992,0.018389469,2.6080582e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.99902344,0.01171875,0.008866523,-11.439448,-11.442417,-8.402446,0.19444908,0.0033453954,1.729869e-12,0.010042971754074096,1357.4068508148193,50000
