training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
3.0315201,-20.31641,2.031641,0.09701902,6.8465214,0.9998791,-6.8456945,1.0,0.9990263,0.0703125,0.0061052185,-8.797113,-8.800586,-5.2451077,4.9178843,0.037384573,6.600855e-06,0.011654089,-0.009716753,0.87354505,3.0390956,-20.390957,2.0390959,0.10411887,6.8369226,0.9999998,-6.8369226,1.0,0.99901676,0.06347656,0.006314653,-8.792545,-8.795936,-5.3233533,1.2976149,0.022074444,3.62409e-06,0.17379073219299315,868.9536726474762,5000
3.017458,-20.19054,2.0190542,0.085031636,6.588515,0.9984039,-6.578,1.0,0.999033,0.15332031,0.005515373,-9.218189,-9.222721,-4.5831842,4.9918265,0.07578629,5.9464014e-06,0.02310141,-0.023039835,1.1634405,3.0214088,-20.21409,2.021409,0.0872745,6.8447857,0.9999998,-6.8447857,1.0,0.9990225,0.09863281,0.005856295,-9.169798,-9.173937,-4.936198,1.06519,0.030946232,1.1377748e-05,0.006747936391830444,902.6933627128601,10000
3.0079186,-20.11418,2.011418,0.07775926,6.524168,0.99650043,-6.5013375,1.0,0.999033,0.19335938,0.0052396487,-9.610302,-9.615459,-4.3330927,16.095089,0.12893543,1.0678196e-05,0.014803649,-0.015834535,0.8252146,3.0174654,-20.174654,2.0174654,0.08351852,6.9670787,0.99999994,-6.9670787,1.0,0.99902153,0.12988281,0.005877616,-9.574612,-9.579146,-4.9356585,5.524665,0.055503786,3.073787e-06,0.006769374990463256,936.5402445793152,15000
3.0014215,-20.07369,2.007369,0.07390298,6.592582,0.9940523,-6.5533724,1.0,0.99903774,0.2421875,0.0047727623,-9.959102,-9.965115,-3.8080444,69.98227,0.288684,1.32773475e-05,0.012941246,-0.01068781,0.7351034,3.012142,-20.123482,2.0123482,0.078644946,7.19017,0.99979377,-7.1886883,1.0,0.9990225,0.15136719,0.0059312326,-9.806545,-9.811273,-4.96949,4.116562,0.067500316,2.729356e-07,0.006769071578979493,970.3856101036072,20000
3.0033665,-20.085793,2.0085793,0.07505559,6.5010166,0.9947872,-6.4671288,1.0,0.9990444,0.2734375,0.004618015,-10.18802,-10.194411,-3.649367,46.2439,0.3223305,8.985372e-07,0.01764325,-0.018632414,0.8865403,3.0152266,-20.156818,2.0156817,0.08181988,7.323344,0.99954486,-7.320012,1.0,0.9990196,0.16796875,0.0056893863,-10.068914,-10.074171,-4.692624,9.333654,0.106858,6.7755224e-08,0.006766258859634399,1004.2169120311737,25000
2.998221,-20.050053,2.0050054,0.07165198,6.222974,0.9932157,-6.180756,1.0,0.99905586,0.30566406,0.004376254,-10.650855,-10.658018,-3.3237486,21.540197,0.37199807,1.3899163e-06,0.019563876,-0.015125719,0.82341975,3.0120525,-20.121298,2.0121298,0.078437075,7.599387,0.99992275,-7.5988007,1.0,0.99895287,0.15039062,0.0060625337,-10.377798,-10.383085,-4.968101,9.994593,0.15145616,1.185078e-07,0.006763981485366821,1038.036828994751,30000
2.9913116,-20.018728,2.001873,0.06866848,6.1275635,0.9894386,-6.0628486,1.0,0.99907017,0.33691406,0.004105813,-11.101834,-11.109697,-3.0572863,82.99329,0.57925767,1.0567871e-07,0.015932491,-0.011119474,0.7318643,3.0094323,-20.098099,2.0098097,0.076227576,7.9026914,0.99962264,-7.89971,1.0,0.9989872,0.15820312,0.0060331356,-10.669407,-10.674907,-5.0448055,6.221003,0.12249951,1.7866708e-07,0.0067713737964630125,1071.8937084674835,35000
2.9918342,-20.011547,2.0011547,0.06798461,6.0958157,0.9906796,-6.0390015,1.0,0.9990797,0.40429688,0.0038471294,-11.379131,-11.387513,-2.8052683,48.18851,0.67679083,4.435822e-07,0.015741285,-0.013447678,0.7254466,3.0086246,-20.087383,2.0087385,0.07520718,8.135704,0.9998859,-8.134777,1.0,0.9990034,0.1640625,0.006384144,-10.983773,-10.989203,-5.427967,5.4322996,0.1352417,2.8237952e-08,0.006765066623687744,1105.7190525531769,40000
2.9919944,-20.01839,2.001839,0.06863626,6.1545815,0.99015546,-6.093993,1.0,0.9991026,0.43164062,0.00379163,-11.528164,-11.536795,-2.6991343,100.68517,0.81751853,4.3992707e-09,0.010628632,-0.011750779,0.71369267,3.0090535,-20.098808,2.009881,0.07629518,8.606413,0.9991725,-8.599293,1.0,0.99899006,0.15625,0.0064367475,-11.185684,-11.191244,-5.497013,46.26644,0.20374237,1.0899992e-09,0.006760167646408081,1139.5198993682861,45000
2.9799495,-19.976582,1.997658,0.06465443,5.8682847,0.98229134,-5.764366,1.0,0.9991112,0.47070312,0.003555895,-11.674781,-11.683777,-2.4705527,88.39794,0.85983515,1.3991018e-06,0.016573312,-0.01694981,0.7903205,3.005246,-20.065577,2.0065575,0.07313021,8.580379,0.99868846,-8.569126,1.0,0.99898434,0.15429688,0.0066005676,-11.3897915,-11.395388,-5.666067,10.14053,0.14291522,1.577746e-08,0.0067664771556854245,1173.3522934913635,50000
2.97953,-19.98629,1.998629,0.065579005,5.952732,0.9809011,-5.839042,1.0,0.9991207,0.46289062,0.0035338078,-11.820375,-11.82971,-2.2725081,208.63129,1.3077452,2.5233345e-07,0.014644846,-0.016304968,0.74656737,3.008769,-20.091602,2.0091603,0.075608894,9.049949,0.9996087,-9.046409,1.0,0.9989834,0.14746094,0.006738891,-11.522408,-11.528062,-5.7381964,7.603552,0.1422923,1.6735469e-09,0.006748191976547241,1207.0932607650757,55000
2.9799745,-19.977266,1.9977267,0.06471974,5.9401727,0.9822479,-5.8347225,1.0,0.99914265,0.49316406,0.0034418793,-12.143725,-12.153371,-2.2773528,223.62794,1.5627128,1.3935954e-06,0.015737362,-0.017220475,0.7449899,3.0117707,-20.125496,2.0125496,0.078836985,8.946882,0.99922115,-8.939915,1.0,0.99899673,0.13964844,0.006915669,-11.831231,-11.83689,-6.041252,23.357107,0.17831199,2.2946939e-10,0.006748638868331909,1240.8364653587341,60000
2.979009,-19.974438,1.9974437,0.06445026,5.774498,0.9815652,-5.668047,1.0,0.9991226,0.51171875,0.0033079954,-12.378947,-12.388969,-2.1267498,227.98566,1.3242955,1.4264299e-08,0.016556684,-0.016966004,0.7104417,3.0104637,-20.113974,2.0113974,0.077739455,8.974593,0.99906635,-8.966215,1.0,0.99899673,0.1640625,0.0068893763,-12.014326,-12.020217,-5.9885855,46.458973,0.28357577,3.8318393e-09,0.006758736324310303,1274.6301555633545,65000
2.974407,-19.989975,1.9989976,0.0659302,5.7914543,0.9754094,-5.6490397,1.0,0.9991598,0.5361328,0.0031646034,-12.514252,-12.524551,-1.976579,1334.5725,2.1527855,8.0101364e-07,0.01907314,-0.019281348,0.8205173,3.0088305,-20.08982,2.0089822,0.07543914,9.164404,0.9998484,-9.163015,1.0,0.9990101,0.1484375,0.007031754,-12.07636,-12.082111,-6.1923423,25.808744,0.18299116,9.980238e-09,0.006771696853637695,1308.4886479377747,70000
2.9717078,-19.955027,1.9955027,0.06260168,5.7973433,0.9762051,-5.659397,1.0,0.99919796,0.5800781,0.0030676592,-12.641218,-12.651817,-1.7972481,92.6801,1.6116672,1.473794e-08,0.014410741,-0.016874338,0.7586159,3.0074852,-20.084864,2.0084865,0.074967094,9.365141,0.9989987,-9.355764,1.0,0.9989691,0.15429688,0.0070414986,-12.249497,-12.255428,-6.181662,42.855385,0.19810419,6.3205277e-09,0.006768574666976929,1342.3315300941467,75000
2.971505,-19.958237,1.9958236,0.06290739,5.725592,0.97568125,-5.586354,1.0,0.9992161,0.56640625,0.0030429428,-12.699017,-12.709752,-1.7161762,478.13553,1.9798189,7.3160226e-07,0.017806085,-0.020239579,0.8431459,3.008225,-20.090069,2.009007,0.07546287,9.324121,0.99921787,-9.31683,1.0,0.9989958,0.1328125,0.007064879,-12.29447,-12.300455,-6.1727495,21.19298,0.1779469,1.8939912e-09,0.006774863958358765,1376.2058563232422,80000
2.969168,-19.974728,1.9974729,0.06447803,5.686418,0.971695,-5.525465,1.0,0.9991808,0.60839844,0.0029216097,-12.74474,-12.755681,-1.5515096,575.6549,2.634151,2.667948e-08,0.017828956,-0.016265608,0.7525328,3.0085163,-20.08982,2.008982,0.07543915,9.494827,0.99953425,-9.490406,1.0,0.998991,0.1484375,0.007256612,-12.504665,-12.510595,-6.438669,55.04574,0.21367453,9.3543895e-11,0.006761351585388184,1410.012624502182,85000
2.965843,-19.955088,1.9955087,0.06260744,5.561703,0.9703343,-5.3967123,1.0,0.9992399,0.66503906,0.0026249336,-13.130444,-13.142009,-1.2983986,277.28604,2.3997936,3.030237e-07,0.014511277,-0.029903766,0.7882911,3.009239,-20.105112,2.010511,0.07689546,9.766424,0.9987281,-9.754003,1.0,0.99898434,0.12988281,0.007463214,-12.611848,-12.617622,-6.7044754,46.012093,0.19279742,6.775037e-10,0.0067634223937988285,1443.8297448158264,90000
2.9544244,-19.946037,1.994604,0.061745796,5.425994,0.95982045,-5.207981,1.0,0.9992304,0.625,0.002746188,-13.016118,-13.0275345,-1.3375938,252.91281,2.5821536,1.7341895e-07,0.022439973,-0.026455455,0.9063628,3.0099502,-20.108643,2.0108643,0.077231795,9.543654,0.9990859,-9.534932,1.0,0.9989853,0.1328125,0.0075002303,-12.663652,-12.669481,-6.6998687,35.59488,0.23740625,8.492065e-10,0.0067554818153381345,1477.6071610450745,95000
2.9556665,-19.9649,1.99649,0.063542,5.3665805,0.95917654,-5.147499,1.0,0.9992304,0.6357422,0.0027335437,-13.257305,-13.269022,-1.2699237,224.75618,2.8303246,5.687599e-07,0.023510091,-0.026826752,0.84666103,3.0088692,-20.09025,2.009025,0.07548013,10.061834,0.999844,-10.060266,1.0,0.9989853,0.14355469,0.0075162295,-12.833419,-12.839353,-6.7622337,18.648842,0.20813829,1.4538528e-09,0.006754547262191772,1511.3799052238464,100000
2.9540608,-19.966763,1.9966762,0.06371939,5.143622,0.9573845,-4.924425,1.0,0.99924946,0.6699219,0.0025738918,-13.282031,-13.293945,-1.0939956,427.92422,2.9088619,8.065661e-08,0.03565337,-0.035222962,0.9713183,3.0112777,-20.11676,2.0116758,0.078004844,9.856899,0.99960184,-9.852976,1.0,0.9989958,0.13964844,0.007596745,-12.885601,-12.89148,-6.8720694,21.33721,0.23067819,2.6425284e-09,0.13624418082237244,2192.600818157196,105000
2.9606771,-19.959938,1.9959939,0.0630694,5.507793,0.9646834,-5.3132772,1.0,0.99925804,0.64941406,0.0025562444,-13.337984,-13.34997,-1.0747058,128.50368,2.75564,1.9873141e-07,0.020477174,-0.02128419,0.80833614,3.0063834,-20.074978,2.0074978,0.07402568,9.871073,0.9988857,-9.860074,1.0,0.9989624,0.15429688,0.007526461,-13.023224,-13.02937,-6.734068,51.738804,0.28793055,2.2773154e-09,0.00676579213142395,2226.429785966873,110000
2.948955,-19.951263,1.9951265,0.06224336,5.3571167,0.9538286,-5.1097717,1.0,0.99925613,0.68652344,0.0025068342,-13.4552,-13.467341,-1.0333403,311.2142,2.9695036,4.813077e-08,0.028659627,-0.024695445,0.8565991,3.009871,-20.108028,2.0108027,0.07717321,9.990018,0.9990683,-9.980711,1.0,0.99900055,0.15722656,0.007720083,-13.0566,-13.062482,-7.039603,56.027527,0.23483784,9.911107e-10,0.006765289926528931,2260.256246328354,115000
2.9452593,-19.959707,1.9959707,0.06304751,5.2581186,0.94928867,-4.991473,1.0,0.9992542,0.6464844,0.002629371,-13.56362,-13.575632,-1.2746131,263.8305,2.6127417,1.7458653e-07,0.019386346,-0.026133902,0.85001636,3.0097709,-20.10862,2.0108619,0.07722957,10.017155,0.9989091,-10.0062275,1.0,0.9989691,0.1328125,0.007910103,-13.240408,-13.246281,-7.231839,17.418373,0.1767959,6.606516e-10,0.006763343620300293,2294.0729722976685,120000
2.9460704,-19.960337,1.9960337,0.0631074,5.2240877,0.9500367,-4.9630756,1.0,0.9992838,0.7060547,0.002401718,-13.55205,-13.564428,-0.8883981,722.4101,3.2378674,5.7673555e-09,0.06942102,-0.10596215,1.6134113,3.0057802,-20.07169,2.007169,0.0737125,10.035879,0.99861115,-10.021941,1.0,0.9989815,0.13769531,0.0077966345,-13.283864,-13.289937,-7.0709257,98.04348,0.29390916,1.2175876e-10,0.006770821714401245,2327.9270889759064,125000
2.9498358,-19.959637,1.9959636,0.06304069,5.4410124,0.9538723,-5.190032,1.0,0.9993057,0.7294922,0.0023168349,-13.706774,-13.719353,-0.8386232,619.3573,3.6999679,1.4512653e-07,0.030888796,-0.033645753,0.9598781,3.008191,-20.091408,2.0091407,0.075590305,10.364735,0.9990504,-10.354893,1.0,0.9989872,0.13769531,0.007859595,-13.417051,-13.423167,-7.1606364,64.71432,0.35143626,2.3894914e-11,0.006775651073455811,2361.80535697937,130000
2.9373212,-19.95083,1.9950832,0.06220212,5.211088,0.9422381,-4.9100866,1.0,0.99929905,0.7001953,0.002388182,-13.792351,-13.804962,-0.890956,330.7671,3.4032297,1.5888896e-06,0.033197008,-0.02078716,0.9712915,3.009901,-20.106686,2.0106685,0.07704541,10.555557,0.99923265,-10.547459,1.0,0.99899673,0.12890625,0.008085981,-13.426801,-13.432599,-7.4960203,25.99773,0.20600832,1.610033e-09,0.006754840183258057,2395.579563856125,135000
2.943887,-19.961792,1.9961791,0.06324591,4.978956,0.94770795,-4.7185974,1.0,0.9993019,0.7246094,0.002323777,-13.926584,-13.939385,-0.83159053,140.34988,3.1133056,9.601921e-07,0.033327892,-0.036000285,1.0214117,3.0108428,-20.111868,2.0111868,0.077539064,10.490109,0.99965584,-10.4865,1.0,0.9990034,0.13574219,0.008085423,-13.405333,-13.411122,-7.4826465,99.41768,0.26447836,1.7773466e-10,0.006754710245132446,2429.3531243801117,140000
