training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
3.050023,-20.501621,2.050162,0.114658244,7.010952,0.99986094,-7.0099783,1.0,0.9990244,0.046875,0.0064152176,-8.699357,-8.702418,-5.5675106,1.1714278,0.015756834,7.935445e-06,0.013318189,-0.012660619,0.45598316,3.0531726,-20.531727,2.0531726,0.11752544,6.986326,0.9999999,-6.986326,1.0,0.99902344,0.028320312,0.006519785,-8.759038,-8.762077,-5.6494174,0.23017791,0.00934112,2.6543023e-06,0.1842616735935211,921.3083808422089,5000
3.0333648,-20.35064,2.0350642,0.10027926,6.644017,0.9983007,-6.632728,1.0,0.999033,0.103515625,0.005894708,-9.090788,-9.0948,-4.9863873,9.206605,0.052730918,1.8446829e-06,0.009101856,-0.010600532,0.40431845,3.040649,-20.408577,2.0408576,0.10579686,6.97232,0.9997913,-6.970866,1.0,0.99901867,0.08984375,0.006058448,-9.11936,-9.123206,-5.1852384,6.2502427,0.037104852,1.7873337e-07,0.009586658048629761,969.2416841983795,10000
3.0274644,-20.305279,2.030528,0.095958985,6.5985117,0.9969364,-6.578297,1.0,0.99903774,0.140625,0.0056667337,-9.2829075,-9.28738,-4.7071753,22.751436,0.105473,1.3815194e-06,0.006622327,-0.0078254305,0.39001712,3.0337076,-20.33935,2.033935,0.09920384,6.952657,0.9997724,-6.951076,1.0,0.9990063,0.10546875,0.0059284503,-9.369655,-9.373918,-5.009045,4.465264,0.0478016,2.5327722e-06,0.009617460298538208,1017.3289973735809,15000
3.0254462,-20.30177,2.030177,0.09562487,6.6849246,0.99526906,-6.6532993,1.0,0.9990349,0.18554688,0.0053863465,-9.412256,-9.417122,-4.4335294,14.27545,0.14645918,2.60043e-06,0.0061993254,-0.008245879,0.37503242,3.02911,-20.302994,2.0302992,0.09574146,6.881384,0.9988107,-6.8732004,1.0,0.99895287,0.13085938,0.005839985,-9.432244,-9.436819,-4.752448,13.765506,0.096196115,1.3359123e-06,0.00960703763961792,1065.3641993999481,20000
3.0206938,-20.256191,2.0256193,0.09128417,6.532259,0.99507445,-6.500085,1.0,0.99903965,0.19042969,0.00523339,-9.57151,-9.576673,-4.2915373,44.738018,0.1775761,1.04944e-06,0.008486812,-0.0075552855,0.36242536,3.0269012,-20.282808,2.028281,0.093819104,6.6334734,0.9986202,-6.6243215,1.0,0.99896145,0.13378906,0.005796427,-9.552986,-9.557737,-4.6925344,10.271569,0.09644222,5.2788533e-07,0.009615919208526611,1113.4438080787659,25000
3.024845,-20.283325,2.0283325,0.09386813,6.4487205,0.99651235,-6.4262304,1.0,0.999033,0.18847656,0.00524666,-9.675662,-9.680869,-4.348308,13.615021,0.11864957,1.7886783e-06,0.011390139,-0.009703557,0.34767988,3.027319,-20.28265,2.028265,0.09380393,7.014312,0.99905396,-7.007677,1.0,0.999012,0.13476562,0.0059379167,-9.532793,-9.537311,-4.910867,13.077545,0.10123625,4.2743142e-07,0.009613276290893554,1161.510201215744,30000
3.0173922,-20.245699,2.02457,0.09028484,6.5224094,0.99282205,-6.4755926,1.0,0.9990454,0.23242188,0.005110237,-9.706165,-9.71164,-4.1048565,13.857603,0.2037983,1.9675913e-06,0.008124829,-0.008711517,0.35987437,3.0239239,-20.255203,2.0255203,0.091189906,6.905984,0.99840355,-6.8949604,1.0,0.9989977,0.16113281,0.0057377806,-9.57304,-9.577864,-4.6379347,41.958977,0.1854999,5.8711936e-07,0.009610225534439087,1209.5613422393799,35000
3.018548,-20.224411,2.022441,0.08825726,6.571659,0.99610704,-6.546077,1.0,0.9990406,0.23242188,0.005114741,-9.86688,-9.872411,-4.20814,32.02554,0.1822598,1.423993e-06,0.010740854,-0.013349479,0.3616643,3.025214,-20.264626,2.0264626,0.092087336,7.0174665,0.99875146,-7.008706,1.0,0.9989996,0.1484375,0.005798159,-9.633448,-9.638237,-4.733311,12.343975,0.10269779,2.0048014e-06,0.009616452646255493,1257.6436185836792,40000
3.0107403,-20.194023,2.0194025,0.085363455,6.5039034,0.9913378,-6.447566,1.0,0.9990463,0.24414062,0.004923826,-10.01231,-10.018204,-3.9831917,32.46879,0.27584308,2.6390467e-06,0.009256134,-0.008111916,0.34689853,3.022764,-20.236633,2.0236633,0.089421414,7.0078273,0.9991007,-7.0015264,1.0,0.9990177,0.16992188,0.005705036,-9.617487,-9.622312,-4.682205,41.549175,0.13305876,3.069706e-08,0.009611463689804077,1305.7009489536285,45000
3.0166824,-20.208782,2.0208783,0.08676891,6.457856,0.9958041,-6.4307604,1.0,0.99903774,0.2705078,0.0048135296,-10.071098,-10.077133,-3.8981872,25.783602,0.25834048,8.869381e-07,0.009236153,-0.0080208955,0.3592759,3.0209713,-20.226242,2.0226243,0.08843162,7.0199537,0.998347,-7.0083504,1.0,0.998991,0.15527344,0.005888561,-9.763525,-9.768419,-4.7560887,57.294704,0.18622296,1.7071815e-07,0.009616709995269776,1353.7845108509064,50000
3.014371,-20.200052,2.020005,0.08593739,6.4779553,0.9943658,-6.4414577,1.0,0.9990492,0.2705078,0.0047801575,-10.157656,-10.1638975,-3.77138,63.55123,0.31798226,1.2687464e-06,0.013443014,-0.008824325,0.39282894,3.0224009,-20.242874,2.0242872,0.09001586,7.0538235,0.9981136,-7.040518,1.0,0.9989691,0.14160156,0.0059926794,-9.848934,-9.853823,-4.8470483,148.00256,0.22518471,1.5933925e-07,0.009616428804397583,1401.866667509079,55000
